user_id,age,sex,weight_kg,height_cm,bmi,activity_level,bmr_kcal,tdee_kcal,diet_type,region,health_condition,food_allergy,vegetable_preference,budget_tier
USR0023,32,Female,65.6,152.2,28.3,Sedentary,1286,1543,Non-Vegetarian,Terai,None,Gluten,Prefers cooked,1
USR0024,28,Male,65.4,166.3,23.6,Moderate,1558,2415,Non-Vegetarian,Terai,Lactose Intolerance,None,Likes all,3
USR0025,58,Male,54.9,156.4,22.4,Moderate,1242,1925,Non-Vegetarian,Terai,Celiac,Nuts,Prefers cooked,2
USR0026,21,Female,50.4,148.8,22.8,Moderate,1168,1810,Vegetarian,Terai,Obesity,None,Likes all,3
USR0027,69,Male,59.8,183.5,17.8,Sedentary,1405,1686,Non-Vegetarian,Hills,Diabetes,None,No leafy,3
USR0028,72,Female,70.6,154.6,29.5,Moderate,1151,1784,Vegetarian,Terai,Diabetes,None,Likes all,3
USR0029,39,Male,60.6,170.4,20.9,Moderate,1481,2296,Non-Vegetarian,Hills,Underweight,Gluten,No bitter,1
USR0030,59,Male,63.4,162.9,23.9,Moderate,1362,2111,Non-Vegetarian,Hills,None,Gluten,No leafy,3
USR0031,19,Male,80.4,172.5,27.0,Moderate,1792,2778,Vegan,Terai,Hypertension,None,No leafy,1
USR0032,44,Male,46.7,179.0,14.6,Sedentary,1371,1645,Non-Vegetarian,Terai,Celiac,None,Likes all,2
USR0033,24,Female,59.9,151.7,26.0,Moderate,1266,1962,Non-Vegetarian,Hills,None,None,No bitter,2
USR0034,39,Male,70.4,175.5,22.9,Heavy,1611,2779,Vegetarian,Hills,None,None,No leafy,2
USR0035,34,Female,56.2,164.1,20.9,Heavy,1257,2168,Non-Vegetarian,Hills,None,Milk,No bitter,3
USR0036,73,Female,53.0,155.4,21.9,Moderate,975,1511,Non-Vegetarian,Mountain,Diabetes,None,Likes all,3
USR0037,49,Female,53.0,148.0,24.2,Sedentary,1049,1259,Non-Vegetarian,Mountain,None,Milk,Likes all,2
USR0038,71,Male,73.1,160.5,28.4,Moderate,1384,2145,Non-Vegetarian,Hills,None,Nuts,No bitter,1
USR0039,69,Female,50.6,160.7,19.6,Heavy,1004,1732,Non-Vegetarian,Mountain,None,None,No leafy,2
USR0040,43,Male,46.3,173.4,15.4,Moderate,1337,2072,Non-Vegetarian,Terai,Anaemia,Nuts,No leafy,2
USR0041,32,Female,38.0,153.1,16.2,Moderate,1016,1575,Vegetarian,Hills,Underweight,Nuts,Likes all,1
USR0042,33,Female,55.8,150.3,24.7,Sedentary,1171,1405,Non-Vegetarian,Hills,Lactose Intolerance,None,No leafy,2
USR0043,54,Male,54.5,165.2,20.0,Sedentary,1312,1574,Vegetarian,Hills,None,None,No leafy,1
USR0044,20,Male,44.7,168.9,15.7,Moderate,1408,2182,Non-Vegetarian,Mountain,Underweight,Fish,No leafy,1
USR0045,62,Female,53.6,159.3,21.1,Moderate,1061,1645,Vegan,Hills,Celiac,None,No bitter,2
USR0046,41,Male,62.9,172.2,21.2,Sedentary,1505,1806,Non-Vegetarian,Terai,None,Fish,Prefers cooked,1
USR0047,58,Male,51.5,170.5,17.7,Heavy,1296,2236,Vegetarian,Terai,Anaemia,Fish,Likes all,3
USR0048,66,Female,62.4,154.2,26.2,Heavy,1097,1892,Non-Vegetarian,Mountain,Underweight,None,No leafy,1
USR0049,60,Female,45.1,154.6,18.9,Heavy,956,1649,Non-Vegetarian,Hills,None,None,No leafy,3
USR0050,15,Male,58.6,161.6,22.4,Heavy,1526,2632,Non-Vegetarian,Terai,Diabetes,Fish,No bitter,1
USR0051,46,Female,44.3,166.3,16.0,Moderate,1091,1691,Non-Vegetarian,Hills,None,Gluten,Likes all,3
USR0052,49,Male,62.6,168.0,22.2,Sedentary,1436,1723,Vegetarian,Terai,None,None,Prefers cooked,1
USR0053,65,Male,55.8,156.0,22.9,Moderate,1213,1880,Non-Vegetarian,Hills,Hypertension,None,Likes all,1
USR0054,18,Female,35.8,146.4,16.7,Heavy,1022,1763,Non-Vegetarian,Terai,None,None,Likes all,2
USR0055,10,Male,55.9,171.9,18.9,Moderate,1588,2461,Vegetarian,Mountain,Celiac,Nuts,Likes all,2
USR0056,18,Female,46.2,156.7,18.8,Heavy,1190,2053,Non-Vegetarian,Hills,None,Milk,No leafy,2
USR0057,39,Female,51.0,158.7,20.2,Sedentary,1146,1375,Non-Vegetarian,Hills,None,Gluten,No leafy,2
USR0058,68,Male,65.8,160.9,25.4,Moderate,1329,2060,Non-Vegetarian,Hills,Hypertension,Milk,No bitter,3
USR0059,71,Male,66.0,163.9,24.6,Heavy,1334,2301,Non-Vegetarian,Mountain,None,Gluten,No leafy,2
USR0060,16,Male,59.2,172.8,19.8,Moderate,1597,2475,Non-Vegetarian,Mountain,Hypertension,Gluten,No bitter,2
USR0061,50,Female,51.9,148.7,23.5,Moderate,1037,1607,Non-Vegetarian,Terai,None,Nuts,Likes all,3
USR0062,29,Male,64.4,174.0,21.3,Moderate,1592,2468,Vegetarian,Terai,Diabetes,None,No bitter,1
USR0063,6,Female,52.8,150.5,23.3,Sedentary,1278,1534,Vegetarian,Mountain,Diabetes,None,No leafy,1
USR0064,41,Male,51.4,166.6,18.5,Moderate,1355,2100,Vegetarian,Hills,Obesity,None,Likes all,2
USR0065,14,Female,41.9,149.0,18.9,Moderate,1119,1734,Non-Vegetarian,Mountain,Diabetes,None,Prefers cooked,1
USR0066,33,Female,55.4,147.2,25.6,Heavy,1148,1980,Non-Vegetarian,Mountain,Anaemia,Milk,Likes all,3
USR0067,31,Male,56.5,160.6,21.9,Sedentary,1419,1703,Non-Vegetarian,Terai,None,None,Prefers cooked,1
USR0068,62,Female,50.2,146.7,23.3,Sedentary,948,1138,Non-Vegetarian,Hills,Diabetes,Gluten,Likes all,1
USR0069,30,Female,43.9,158.0,17.6,Moderate,1116,1730,Non-Vegetarian,Terai,None,None,Prefers cooked,2
USR0070,61,Female,63.8,161.5,24.5,Heavy,1181,2037,Non-Vegetarian,Mountain,Underweight,Gluten,No leafy,1
USR0071,60,Male,60.7,154.2,25.5,Sedentary,1276,1531,Vegetarian,Terai,Celiac,None,No bitter,3
USR0072,27,Male,47.7,167.1,17.1,Moderate,1391,2156,Non-Vegetarian,Mountain,Anaemia,Gluten,Likes all,2
USR0073,57,Female,47.3,163.0,17.8,Moderate,1046,1621,Non-Vegetarian,Hills,Obesity,Milk,No leafy,3
USR0074,63,Male,68.5,168.2,24.2,Sedentary,1426,1711,Non-Vegetarian,Mountain,None,Gluten,No leafy,1
USR0075,71,Male,51.1,175.3,16.6,Heavy,1257,2168,Vegetarian,Terai,Diabetes,None,No bitter,2
USR0076,20,Female,66.5,155.8,27.4,Moderate,1378,2136,Non-Vegetarian,Hills,Underweight,None,No leafy,1
USR0077,19,Male,57.1,166.0,20.7,Moderate,1518,2353,Non-Vegetarian,Hills,Underweight,Milk,No leafy,2
USR0078,36,Female,49.2,155.0,20.5,Moderate,1120,1736,Vegan,Mountain,None,None,No bitter,2
USR0079,69,Female,53.9,154.5,22.6,Moderate,999,1548,Vegan,Mountain,Celiac,Gluten,Prefers cooked,2
USR0080,49,Female,46.4,164.3,17.2,Heavy,1085,1872,Non-Vegetarian,Hills,None,None,No leafy,1
USR0081,10,Female,49.8,161.2,19.2,Heavy,1294,2232,Non-Vegetarian,Terai,Obesity,None,Prefers cooked,3
USR0082,17,Female,60.8,148.6,27.5,Heavy,1291,2227,Vegetarian,Terai,Anaemia,None,Likes all,2
USR0083,48,Female,47.5,149.1,21.4,Sedentary,1006,1207,Non-Vegetarian,Mountain,Anaemia,Nuts,No leafy,3
USR0084,13,Male,63.5,177.1,20.2,Moderate,1682,2607,Non-Vegetarian,Terai,Anaemia,None,Likes all,2
USR0085,43,Male,64.5,163.6,24.1,Sedentary,1458,1750,Non-Vegetarian,Hills,Hypertension,Fish,Prefers cooked,1
USR0086,28,Female,55.8,156.5,22.8,Heavy,1235,2130,Vegan,Terai,Obesity,None,Prefers cooked,2
USR0087,63,Female,54.0,155.0,22.5,Heavy,1033,1782,Non-Vegetarian,Mountain,None,None,No leafy,2
USR0088,59,Female,50.4,146.8,23.4,Moderate,966,1497,Non-Vegetarian,Hills,Obesity,None,Prefers cooked,2
USR0089,42,Female,61.5,153.7,26.0,Heavy,1205,2079,Non-Vegetarian,Terai,Lactose Intolerance,None,No leafy,2
USR0090,50,Male,63.3,170.1,21.9,Moderate,1451,2249,Non-Vegetarian,Terai,Celiac,None,No bitter,2
USR0091,51,Male,61.5,161.5,23.6,Moderate,1374,2130,Non-Vegetarian,Hills,None,None,Prefers cooked,3
USR0092,72,Female,46.8,153.9,19.8,Moderate,909,1409,Non-Vegetarian,Hills,Diabetes,Nuts,Likes all,2
USR0093,23,Male,62.2,159.3,24.5,Heavy,1508,2601,Vegan,Hills,None,Fish,Likes all,2
USR0094,63,Male,50.7,174.8,16.6,Moderate,1290,2000,Vegan,Hills,Celiac,Nuts,Likes all,1
USR0095,8,Female,38.2,142.6,18.8,Moderate,1072,1662,Vegan,Terai,Celiac,None,No leafy,2
USR0096,19,Female,67.9,167.0,24.3,Moderate,1467,2274,Non-Vegetarian,Terai,None,None,Prefers cooked,2
USR0097,52,Female,46.9,143.9,22.6,Heavy,947,1634,Vegan,Terai,Anaemia,None,No leafy,3
USR0098,40,Female,62.5,155.4,25.9,Heavy,1235,2130,Non-Vegetarian,Terai,Hypertension,None,No bitter,3
USR0099,12,Female,49.3,156.7,20.1,Sedentary,1251,1501,Non-Vegetarian,Terai,Celiac,None,Likes all,1
USR0100,36,Female,69.8,153.1,29.8,Moderate,1314,2037,Vegetarian,Mountain,None,None,Prefers cooked,2
USR0101,5,Male,57.1,187.7,16.2,Moderate,1724,2672,Vegan,Hills,None,None,Likes all,1
USR0102,50,Male,63.8,159.3,25.1,Moderate,1389,2153,Vegetarian,Terai,Diabetes,None,Prefers cooked,2
USR0103,13,Male,44.8,167.1,16.0,Sedentary,1432,1718,Non-Vegetarian,Mountain,None,None,No bitter,2
USR0104,12,Male,81.4,164.9,29.9,Heavy,1790,3088,Vegetarian,Hills,Obesity,None,Likes all,2
USR0105,13,Male,71.8,173.0,24.0,Moderate,1739,2695,Non-Vegetarian,Mountain,Underweight,Milk,No leafy,3
USR0106,17,Female,55.2,150.7,24.3,Moderate,1248,1934,Non-Vegetarian,Hills,None,Fish,No bitter,2
USR0107,58,Female,53.0,148.0,24.2,Moderate,1004,1556,Non-Vegetarian,Hills,None,Gluten,Likes all,1
USR0108,16,Male,47.0,170.5,16.2,Moderate,1461,2265,Non-Vegetarian,Mountain,None,Nuts,Likes all,2
USR0109,59,Female,63.7,145.8,30.0,Moderate,1092,1693,Vegan,Hills,Hypertension,None,Prefers cooked,1
USR0110,33,Female,58.8,148.7,26.6,Moderate,1191,1846,Vegetarian,Hills,Lactose Intolerance,None,No leafy,3
USR0111,39,Male,69.9,166.2,25.3,Moderate,1548,2399,Non-Vegetarian,Hills,None,None,Prefers cooked,3
USR0112,13,Female,62.0,161.7,23.7,Sedentary,1405,1686,Vegetarian,Mountain,None,Fish,No leafy,2
USR0113,25,Female,44.1,162.2,16.8,Sedentary,1169,1403,Vegetarian,Terai,None,None,Likes all,2
USR0114,59,Female,44.3,154.7,18.5,Moderate,954,1479,Non-Vegetarian,Mountain,None,Nuts,No leafy,1
USR0115,67,Female,46.4,153.0,19.8,Moderate,924,1432,Non-Vegetarian,Mountain,None,None,Prefers cooked,2
USR0116,22,Male,62.7,158.4,25.0,Sedentary,1512,1814,Vegetarian,Hills,Anaemia,None,Prefers cooked,2
USR0117,69,Male,48.1,160.7,18.6,Moderate,1145,1775,Vegetarian,Hills,None,Fish,Likes all,2
USR0118,45,Male,50.4,160.2,19.6,Heavy,1285,2217,Non-Vegetarian,Terai,Anaemia,None,No bitter,1
USR0119,51,Female,68.8,161.1,26.5,Moderate,1279,1982,Non-Vegetarian,Mountain,Anaemia,None,No leafy,2
USR0120,33,Female,51.3,157.7,20.6,Sedentary,1173,1408,Vegan,Mountain,None,Nuts,No bitter,1
USR0121,18,Male,66.0,169.2,23.1,Moderate,1632,2530,Vegetarian,Terai,Celiac,Gluten,No leafy,3
USR0122,46,Female,62.3,146.6,29.0,Moderate,1148,1779,Non-Vegetarian,Terai,Obesity,Gluten,No bitter,2
USR0123,50,Male,53.4,164.7,19.7,Heavy,1318,2274,Vegetarian,Terai,Hypertension,Milk,Likes all,1
USR0124,64,Female,34.4,145.6,16.2,Sedentary,773,928,Non-Vegetarian,Mountain,Celiac,None,No bitter,3
USR0125,69,Female,55.9,156.0,23.0,Sedentary,1028,1234,Non-Vegetarian,Terai,Underweight,None,Likes all,1
USR0126,61,Female,41.8,152.6,18.0,Moderate,906,1404,Non-Vegetarian,Hills,Anaemia,Fish,No bitter,3
USR0127,47,Male,66.1,166.4,23.9,Heavy,1471,2537,Non-Vegetarian,Hills,Celiac,None,No bitter,1
USR0128,49,Male,56.6,175.9,18.3,Heavy,1425,2458,Non-Vegetarian,Mountain,None,Milk,No leafy,2
USR0129,72,Male,74.4,171.6,25.3,Moderate,1462,2266,Vegetarian,Hills,Diabetes,None,Prefers cooked,2
USR0130,29,Female,54.7,157.8,22.0,Sedentary,1227,1472,Non-Vegetarian,Terai,Underweight,None,No bitter,3
USR0131,53,Male,65.6,169.2,22.9,Moderate,1454,2254,Non-Vegetarian,Terai,Anaemia,Nuts,Prefers cooked,2
USR0132,62,Female,54.7,159.1,21.6,Heavy,1070,1846,Non-Vegetarian,Hills,Celiac,Gluten,No leafy,2
USR0133,69,Female,30.9,150.9,13.6,Moderate,746,1156,Vegan,Terai,Diabetes,None,No leafy,2
USR0134,71,Male,66.9,159.7,26.2,Moderate,1317,2041,Non-Vegetarian,Hills,Underweight,None,No leafy,1
USR0135,62,Male,79.3,152.8,34.0,Heavy,1443,2489,Vegetarian,Hills,Underweight,Nuts,Prefers cooked,2
USR0136,52,Male,63.4,171.9,21.5,Sedentary,1453,1744,Non-Vegetarian,Terai,None,None,No bitter,2
USR0137,65,Male,61.0,165.3,22.3,Sedentary,1323,1588,Vegetarian,Hills,None,None,No leafy,1
USR0138,35,Female,53.1,156.1,21.8,Heavy,1171,2020,Vegan,Hills,None,None,No leafy,3
USR0139,70,Male,47.8,159.2,18.9,Moderate,1128,1748,Non-Vegetarian,Terai,Lactose Intolerance,Nuts,Prefers cooked,3
USR0140,28,Female,52.0,151.5,22.7,Moderate,1166,1807,Vegetarian,Mountain,Underweight,None,No leafy,2
USR0141,54,Male,69.6,164.3,25.8,Sedentary,1458,1750,Non-Vegetarian,Terai,Hypertension,None,Likes all,3
USR0142,22,Female,64.9,156.4,26.5,Moderate,1356,2102,Non-Vegetarian,Hills,Celiac,None,Prefers cooked,1
USR0143,9,Female,53.3,156.0,21.9,Moderate,1302,2018,Vegetarian,Hills,Diabetes,Fish,No leafy,2
USR0144,29,Male,57.5,180.5,17.6,Sedentary,1563,1876,Non-Vegetarian,Hills,None,Nuts,No leafy,2
USR0145,54,Female,50.9,157.8,20.4,Heavy,1064,1835,Non-Vegetarian,Mountain,Diabetes,None,No leafy,1
USR0146,28,Female,46.4,152.3,20.0,Sedentary,1115,1338,Non-Vegetarian,Hills,Diabetes,Gluten,No leafy,1
USR0147,49,Female,40.3,157.7,16.2,Moderate,983,1524,Vegan,Hills,Diabetes,None,Likes all,2
USR0148,70,Female,58.3,144.0,28.1,Sedentary,972,1166,Non-Vegetarian,Mountain,Celiac,Gluten,Likes all,1
USR0149,35,Male,63.7,157.5,25.7,Heavy,1451,2503,Vegan,Terai,Lactose Intolerance,None,No leafy,2
USR0150,61,Female,55.0,144.9,26.2,Moderate,990,1534,Non-Vegetarian,Hills,Celiac,Milk,Prefers cooked,1
USR0151,28,Male,52.1,165.0,19.1,Sedentary,1417,1700,Non-Vegetarian,Hills,Obesity,None,No bitter,2
USR0152,20,Male,64.6,167.4,23.1,Moderate,1597,2475,Non-Vegetarian,Terai,Celiac,Nuts,No bitter,1
USR0153,43,Female,62.4,145.1,29.6,Moderate,1155,1790,Non-Vegetarian,Mountain,None,None,Prefers cooked,1
USR0154,68,Male,74.5,166.7,26.8,Moderate,1452,2251,Non-Vegetarian,Mountain,None,None,Likes all,2
USR0155,66,Female,38.8,152.1,16.8,Sedentary,848,1018,Non-Vegetarian,Hills,Celiac,None,No leafy,2
USR0156,21,Female,65.3,145.5,30.8,Moderate,1296,2009,Non-Vegetarian,Hills,Underweight,None,Likes all,3
USR0157,43,Male,66.5,171.1,22.7,Moderate,1524,2362,Non-Vegetarian,Mountain,Diabetes,None,No bitter,1
USR0158,21,Female,45.2,147.2,20.9,Sedentary,1106,1327,Vegan,Terai,Lactose Intolerance,None,Prefers cooked,3
USR0159,10,Female,55.0,152.5,23.6,Sedentary,1292,1550,Vegan,Hills,Celiac,None,No leafy,3
USR0160,68,Male,71.6,158.5,28.5,Moderate,1372,2127,Non-Vegetarian,Terai,Celiac,Fish,No bitter,2
USR0161,12,Male,67.7,171.9,22.9,Heavy,1696,2926,Non-Vegetarian,Hills,Lactose Intolerance,None,No bitter,2
USR0162,56,Female,59.9,158.9,23.7,Sedentary,1151,1381,Non-Vegetarian,Terai,Obesity,None,No bitter,2
USR0163,23,Male,68.8,168.8,24.1,Heavy,1633,2817,Vegan,Hills,None,None,No bitter,3
USR0164,29,Female,54.9,145.8,25.8,Heavy,1154,1991,Non-Vegetarian,Hills,Obesity,None,Likes all,2
USR0165,35,Female,55.8,160.4,21.7,Sedentary,1224,1469,Non-Vegetarian,Hills,Lactose Intolerance,Gluten,No bitter,3
USR0166,18,Male,43.2,172.0,14.6,Moderate,1422,2204,Non-Vegetarian,Hills,None,Fish,Likes all,3
USR0167,51,Male,58.3,164.0,21.7,Heavy,1358,2343,Vegan,Hills,Lactose Intolerance,None,Prefers cooked,1
USR0168,52,Female,56.3,147.9,25.7,Moderate,1066,1652,Non-Vegetarian,Terai,Lactose Intolerance,Fish,Likes all,1
USR0169,22,Male,57.9,150.9,25.4,Heavy,1417,2444,Non-Vegetarian,Mountain,Underweight,None,No bitter,3
USR0170,25,Female,44.3,160.0,17.3,Moderate,1157,1793,Vegan,Hills,Underweight,Gluten,No bitter,2
USR0171,52,Male,59.6,168.4,21.0,Heavy,1394,2405,Vegan,Hills,Celiac,None,No leafy,2
USR0172,11,Male,56.7,162.5,21.5,Heavy,1533,2644,Non-Vegetarian,Terai,None,None,Prefers cooked,1
USR0173,45,Female,45.9,157.5,18.5,Moderate,1057,1638,Non-Vegetarian,Mountain,Lactose Intolerance,Gluten,Likes all,1
USR0174,46,Male,73.4,164.9,27.0,Heavy,1540,2656,Non-Vegetarian,Terai,Obesity,Nuts,No bitter,2
USR0175,29,Female,61.0,152.5,26.2,Moderate,1257,1948,Non-Vegetarian,Hills,Diabetes,None,No leafy,2
USR0176,49,Female,34.5,147.9,15.8,Moderate,863,1338,Non-Vegetarian,Terai,Lactose Intolerance,Fish,No leafy,2
USR0177,42,Male,86.1,170.2,29.7,Sedentary,1720,2064,Non-Vegetarian,Hills,Celiac,Milk,No leafy,1
USR0178,73,Male,60.3,175.2,19.6,Moderate,1338,2074,Non-Vegetarian,Terai,Lactose Intolerance,None,Prefers cooked,1
USR0179,34,Male,71.8,167.7,25.5,Heavy,1601,2762,Vegetarian,Terai,None,None,No leafy,2
USR0180,30,Female,54.3,148.2,24.7,Moderate,1158,1795,Vegetarian,Terai,Celiac,None,Likes all,1
USR0181,27,Female,56.2,153.2,23.9,Heavy,1224,2111,Non-Vegetarian,Terai,Diabetes,None,Likes all,2
USR0182,47,Male,55.5,188.5,15.6,Heavy,1503,2593,Non-Vegetarian,Mountain,Obesity,Milk,Prefers cooked,1
USR0183,25,Female,52.5,144.0,25.3,Moderate,1139,1765,Vegetarian,Hills,Diabetes,None,Prefers cooked,3
USR0184,59,Female,50.2,153.7,21.2,Sedentary,1007,1208,Non-Vegetarian,Terai,Obesity,Nuts,Prefers cooked,1
USR0185,54,Female,55.4,165.7,20.2,Moderate,1159,1796,Non-Vegetarian,Mountain,Lactose Intolerance,None,No bitter,2
USR0186,12,Male,56.5,157.2,22.9,Moderate,1492,2313,Non-Vegetarian,Mountain,Diabetes,None,No bitter,2
USR0187,33,Male,73.0,162.6,27.6,Heavy,1586,2736,Vegan,Hills,Anaemia,Gluten,Prefers cooked,1
USR0188,72,Male,47.3,169.1,16.5,Sedentary,1175,1410,Vegan,Terai,None,None,Prefers cooked,1
USR0189,71,Female,41.3,157.8,16.6,Heavy,883,1523,Vegetarian,Mountain,Obesity,None,No leafy,1
USR0190,63,Female,43.4,150.5,19.2,Moderate,899,1393,Vegetarian,Hills,Diabetes,None,Prefers cooked,3
USR0191,10,Male,48.2,170.7,16.5,Sedentary,1504,1805,Vegetarian,Hills,None,Milk,No leafy,1
USR0192,58,Male,47.2,177.0,15.1,Heavy,1293,2230,Non-Vegetarian,Hills,None,None,No bitter,1
USR0193,73,Male,57.9,167.6,20.6,Moderate,1266,1962,Vegetarian,Terai,Diabetes,Gluten,No leafy,3
USR0194,34,Female,54.1,160.5,21.0,Moderate,1213,1880,Non-Vegetarian,Terai,None,Fish,Likes all,1
USR0195,13,Male,64.1,166.2,23.2,Sedentary,1620,1944,Non-Vegetarian,Terai,Anaemia,Gluten,Prefers cooked,3
USR0196,12,Male,82.2,184.6,24.1,Moderate,1921,2978,Vegan,Hills,Lactose Intolerance,Nuts,Prefers cooked,2
USR0197,71,Male,63.5,171.7,21.5,Sedentary,1358,1630,Vegan,Mountain,None,Fish,No leafy,1
USR0198,53,Female,55.8,148.0,25.5,Heavy,1057,1823,Non-Vegetarian,Terai,Diabetes,Fish,Prefers cooked,3
USR0199,35,Female,58.4,149.2,26.2,Moderate,1180,1829,Non-Vegetarian,Terai,Underweight,Fish,No leafy,3
USR0200,54,Male,62.3,170.4,21.5,Sedentary,1423,1708,Non-Vegetarian,Hills,None,None,Likes all,2
USR0201,10,Female,58.1,150.8,25.5,Moderate,1312,2034,Non-Vegetarian,Terai,Hypertension,Milk,Likes all,1
USR0202,20,Male,61.7,151.6,26.8,Moderate,1470,2278,Vegan,Terai,Anaemia,None,No bitter,2
USR0203,64,Female,45.7,152.6,19.6,Moderate,930,1442,Non-Vegetarian,Mountain,Obesity,Gluten,Likes all,2
USR0204,31,Female,47.6,159.3,18.8,Moderate,1156,1792,Non-Vegetarian,Terai,Diabetes,Fish,No bitter,1
USR0205,47,Male,63.6,175.3,20.7,Moderate,1502,2328,Non-Vegetarian,Mountain,Celiac,Nuts,No bitter,2
USR0206,63,Female,61.9,164.9,22.8,Moderate,1174,1820,Non-Vegetarian,Mountain,Obesity,None,Likes all,3
USR0207,14,Male,76.0,161.0,29.3,Sedentary,1701,2041,Non-Vegetarian,Terai,Celiac,None,Likes all,1
USR0208,32,Male,52.3,164.7,19.3,Heavy,1397,2410,Non-Vegetarian,Terai,None,Fish,Likes all,1
USR0209,73,Female,55.7,153.8,23.5,Heavy,992,1711,Non-Vegetarian,Terai,None,None,Prefers cooked,1
USR0210,50,Female,53.0,161.0,20.4,Moderate,1125,1744,Non-Vegetarian,Hills,Lactose Intolerance,None,Prefers cooked,2
USR0211,9,Male,70.1,169.3,24.5,Heavy,1719,2965,Vegetarian,Terai,None,None,No leafy,2
USR0212,17,Female,69.9,144.4,33.5,Moderate,1356,2102,Non-Vegetarian,Mountain,Obesity,Milk,Likes all,1
USR0213,74,Female,51.9,153.3,22.1,Moderate,946,1466,Vegetarian,Terai,Lactose Intolerance,None,No leafy,1
USR0214,25,Female,43.3,150.5,19.1,Heavy,1088,1877,Vegan,Hills,Anaemia,None,Likes all,3
USR0215,11,Female,59.3,156.9,24.1,Sedentary,1358,1630,Non-Vegetarian,Mountain,Lactose Intolerance,Fish,No bitter,1
USR0216,62,Female,45.6,154.4,19.1,Heavy,950,1639,Non-Vegetarian,Terai,Celiac,Fish,Likes all,3
USR0217,36,Female,53.1,151.2,23.2,Moderate,1135,1759,Non-Vegetarian,Terai,Anaemia,Nuts,No bitter,1
USR0218,5,Male,72.2,162.0,27.5,Moderate,1714,2657,Vegetarian,Terai,None,None,No leafy,2
USR0219,18,Female,62.3,155.1,25.9,Sedentary,1341,1609,Vegan,Mountain,Hypertension,Fish,Likes all,2
USR0220,54,Female,56.6,142.9,27.7,Moderate,1028,1593,Vegan,Mountain,None,Fish,Prefers cooked,1
USR0221,43,Female,53.4,157.9,21.4,Moderate,1145,1775,Non-Vegetarian,Hills,Anaemia,Milk,No leafy,1
USR0222,37,Female,67.5,150.2,29.9,Heavy,1268,2187,Vegan,Mountain,None,Gluten,Likes all,1
USR0223,5,Female,61.7,152.0,26.7,Heavy,1381,2382,Non-Vegetarian,Hills,Hypertension,Fish,Prefers cooked,2
USR0224,30,Female,48.4,154.6,20.3,Heavy,1139,1965,Non-Vegetarian,Hills,Celiac,Gluten,Prefers cooked,2
